station_code,Fenwei,Province,CityEN,designation,YRD,PRD,keyregion,GADM_ID_2,CityID,CityGADM,NAME_2,Lon,Lat,keyregion2018,station,City,ProvinceZH
1029A,0,Hebei,Shijiazhuang,26+2,FALSE,FALSE,Jingjinji,97,259,97,Shijiazhuang,114.4548,38.0513,2+26,职工医院,石家庄,河北
1030A,0,Hebei,Shijiazhuang,26+2,FALSE,FALSE,Jingjinji,97,259,97,Shijiazhuang,114.6046,38.0398,2+26,高新区,石家庄,河北
1031A,0,Hebei,Shijiazhuang,26+2,FALSE,FALSE,Jingjinji,97,259,97,Shijiazhuang,114.5019,38.1398,2+26,西北水源,石家庄,河北
1032A,0,Hebei,Shijiazhuang,26+2,FALSE,FALSE,Jingjinji,97,259,97,Shijiazhuang,114.4586111,38.00583333,2+26,西南高教,石家庄,河北
1033A,0,Hebei,Shijiazhuang,26+2,FALSE,FALSE,Jingjinji,97,259,97,Shijiazhuang,114.5330556,38.01777778,2+26,世纪公园,石家庄,河北
1034A,0,Hebei,Shijiazhuang,26+2,FALSE,FALSE,Jingjinji,97,259,97,Shijiazhuang,114.5214,38.0524,2+26,人民会堂,石家庄,河北
1035A,0,Hebei,Shijiazhuang,26+2,FALSE,FALSE,Jingjinji,97,259,97,Shijiazhuang,114.3541,37.9097,2+26,封龙山,石家庄,河北
1036A,0,Hebei,Tangshan,26+2,FALSE,FALSE,Jingjinji,98,43,98,Tangshan,118.1662,39.6308,2+26,供销社,唐山,河北
1037A,0,Hebei,Tangshan,26+2,FALSE,FALSE,Jingjinji,98,43,98,Tangshan,118.144,39.643,2+26,雷达站,唐山,河北
1038A,0,Hebei,Tangshan,26+2,FALSE,FALSE,Jingjinji,98,43,98,Tangshan,118.1853,39.6407,2+26,物资局,唐山,河北
1039A,0,Hebei,Tangshan,26+2,FALSE,FALSE,Jingjinji,98,43,98,Tangshan,118.2185,39.6679,2+26,陶瓷公司,唐山,河北
1040A,0,Hebei,Tangshan,26+2,FALSE,FALSE,Jingjinji,98,43,98,Tangshan,118.1838,39.65782,2+26,十二中,唐山,河北
1041A,0,Hebei,Tangshan,26+2,FALSE,FALSE,Jingjinji,98,43,98,Tangshan,118.19970000000001,39.6295,2+26,小山,唐山,河北
1042A,0,Hebei,Qinhuangdao,neighbor1,FALSE,FALSE,Jingjinji,96,248,96,Qinhuangdao,119.5259,39.8283,NA,北戴河环保局,秦皇岛,河北
1043A,0,Hebei,Qinhuangdao,neighbor1,FALSE,FALSE,Jingjinji,96,248,96,Qinhuangdao,119.7624,40.0181,NA,第一关,秦皇岛,河北
1044A,0,Hebei,Qinhuangdao,neighbor1,FALSE,FALSE,Jingjinji,96,248,96,Qinhuangdao,119.6023,39.9567,NA,监测站,秦皇岛,河北
1045A,0,Hebei,Qinhuangdao,neighbor1,FALSE,FALSE,Jingjinji,96,248,96,Qinhuangdao,119.607,39.9358,NA,市政府,秦皇岛,河北
1046A,0,Hebei,Qinhuangdao,neighbor1,FALSE,FALSE,Jingjinji,96,248,96,Qinhuangdao,119.5369,39.9419,NA,建设大厦,秦皇岛,河北
1047A,0,Hebei,Handan,26+2,FALSE,FALSE,Jingjinji,93,288,93,Handan,114.5129,36.61763,2+26,环保局,邯郸,河北
1048A,0,Hebei,Handan,26+2,FALSE,FALSE,Jingjinji,93,288,93,Handan,114.5426,36.6164,2+26,东污水处理厂,邯郸,河北
1049A,0,Hebei,Handan,26+2,FALSE,FALSE,Jingjinji,93,288,93,Handan,114.5035,36.5776,2+26,矿院,邯郸,河北
1050A,0,Hebei,Handan,26+2,FALSE,FALSE,Jingjinji,93,288,93,Handan,114.4965,36.61981,2+26,丛台公园,邯郸,河北
1051A,0,Hebei,Baoding,26+2,FALSE,FALSE,Jingjinji,90,32,90,Baoding,115.493,38.8632,2+26,游泳馆,保定,河北
1052A,0,Hebei,Baoding,26+2,FALSE,FALSE,Jingjinji,90,32,90,Baoding,115.5223,38.8957,2+26,华电二区,保定,河北
1053A,0,Hebei,Baoding,26+2,FALSE,FALSE,Jingjinji,90,32,90,Baoding,115.4713,38.9108,2+26,接待中心,保定,河北
1054A,0,Hebei,Baoding,26+2,FALSE,FALSE,Jingjinji,90,32,90,Baoding,115.4612,38.8416,2+26,地表水厂,保定,河北
1055A,0,Hebei,Baoding,26+2,FALSE,FALSE,Jingjinji,90,32,90,Baoding,115.442,38.8756,2+26,胶片厂,保定,河北
1056A,0,Hebei,Baoding,26+2,FALSE,FALSE,Jingjinji,90,32,90,Baoding,115.5214,38.8707,2+26,监测站,保定,河北
1057A,0,Hebei,Zhangjiakou,neighbor1,FALSE,FALSE,Jingjinji,100,107,100,Zhangjiakou,114.8985,40.8367,NA,人民公园,张家口,河北
1058A,0,Hebei,Zhangjiakou,neighbor1,FALSE,FALSE,Jingjinji,100,107,100,Zhangjiakou,114.892,40.79481,NA,探机厂,张家口,河北
1059A,0,Hebei,Zhangjiakou,neighbor1,FALSE,FALSE,Jingjinji,100,107,100,Zhangjiakou,114.8814,40.8115,NA,五金库,张家口,河北
1060A,0,Hebei,Zhangjiakou,neighbor1,FALSE,FALSE,Jingjinji,100,107,100,Zhangjiakou,114.9032,40.7688,NA,世纪豪园,张家口,河北
1061A,0,Hebei,Zhangjiakou,neighbor1,FALSE,FALSE,Jingjinji,100,107,100,Zhangjiakou,114.904,40.8725,NA,北泵房,张家口,河北
1062A,0,Hebei,Chengde,neighbor1,FALSE,FALSE,Jingjinji,92,190,92,Chengde,117.9664,40.9161,NA,铁路,承德,河北
1063A,0,Hebei,Chengde,neighbor1,FALSE,FALSE,Jingjinji,92,190,92,Chengde,117.9525,40.9843,NA,中国银行,承德,河北
1064A,0,Hebei,Chengde,neighbor1,FALSE,FALSE,Jingjinji,92,190,92,Chengde,117.963,40.9359,NA,开发区,承德,河北
1065A,0,Hebei,Chengde,neighbor1,FALSE,FALSE,Jingjinji,92,190,92,Chengde,117.8184,40.9733,NA,文化中心,承德,河北
1066A,0,Hebei,Chengde,neighbor1,FALSE,FALSE,Jingjinji,92,190,92,Chengde,117.9384,41.0112,NA,离宫,承德,河北
1067A,0,Hebei,Langfang,26+2,FALSE,FALSE,Jingjinji,95,58,95,Langfang,116.6838,39.5178,2+26,药材公司,廊坊,河北
1068A,0,Hebei,Langfang,26+2,FALSE,FALSE,Jingjinji,95,58,95,Langfang,116.7729,39.5747,2+26,开发区,廊坊,河北
1069A,0,Hebei,Langfang,26+2,FALSE,FALSE,Jingjinji,95,58,95,Langfang,116.715,39.5571,2+26,环境监测监理中心,廊坊,河北
1070A,0,Hebei,Langfang,26+2,FALSE,FALSE,Jingjinji,95,58,95,Langfang,116.7464,39.5343,2+26,北华航天学院,廊坊,河北
1071A,0,Hebei,Cangzhou,26+2,FALSE,FALSE,Jingjinji,91,206,91,Cangzhou,116.8854,38.2991,2+26,沧县城建局,沧州,河北
1072A,0,Hebei,Cangzhou,26+2,FALSE,FALSE,Jingjinji,91,206,91,Cangzhou,116.8584,38.3254,2+26,电视转播站,沧州,河北
1073A,0,Hebei,Cangzhou,26+2,FALSE,FALSE,Jingjinji,91,206,91,Cangzhou,116.8709,38.3228,2+26,市环保局,沧州,河北
1074A,0,Hebei,Hengshui,26+2,FALSE,FALSE,Jingjinji,94,265,94,Hengshui,115.6951,37.7575,2+26,电机北厂,衡水,河北
1075A,0,Hebei,Hengshui,26+2,FALSE,FALSE,Jingjinji,94,265,94,Hengshui,115.6426,37.7379,2+26,市监测站,衡水,河北
1076A,0,Hebei,Hengshui,26+2,FALSE,FALSE,Jingjinji,94,265,94,Hengshui,115.6906,37.739,2+26,市环保局,衡水,河北
1077A,0,Hebei,Xingtai,26+2,FALSE,FALSE,Jingjinji,99,289,99,Xingtai,114.4821,37.0967,2+26,达活泉,邢台,河北
1078A,0,Hebei,Xingtai,26+2,FALSE,FALSE,Jingjinji,99,289,99,Xingtai,114.5261,37.0533,2+26,邢师高专,邢台,河北
1079A,0,Hebei,Xingtai,26+2,FALSE,FALSE,Jingjinji,99,289,99,Xingtai,114.5331,37.0964,2+26,路桥公司,邢台,河北
1080A,0,Hebei,Xingtai,26+2,FALSE,FALSE,Jingjinji,99,289,99,Xingtai,114.4854,37.062,2+26,市环保局,邢台,河北
1081A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.522,37.8873,2+26,尖草坪,太原,山西
1082A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.573,37.9103,2+26,涧河,太原,山西
1083A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.434,38.0108,2+26,上兰,太原,山西
1084A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.469,37.7124,2+26,晋源,太原,山西
1085A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.5583,37.7394,2+26,小店,太原,山西
1086A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.5369,37.8692,2+26,桃园,太原,山西
1087A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.57,37.8195,2+26,坞城,太原,山西
1088A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.549,37.9854,2+26,南寨,太原,山西
1089A,0,Shanxi,Taiyuan,26+2,FALSE,FALSE,none,270,54,270,Taiyuan,112.488,37.7805,2+26,金胜,太原,山西
1090A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.651,40.7579,NA,呼市一监,呼和浩特,内蒙古
1091A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.658,40.8033,NA,小召,呼和浩特,内蒙古
1092A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.659,40.8452,NA,兴松小区,呼和浩特,内蒙古
1093A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.608,40.8144,NA,糖厂,呼和浩特,内蒙古
1094A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.751,40.8369,NA,如意水处理厂,呼和浩特,内蒙古
1095A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.7277,40.8062,NA,二十九中,呼和浩特,内蒙古
1096A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.551,40.7866,NA,工大金川校区,呼和浩特,内蒙古
1097A,0,Nei Mongol,Hohhot,neighbor2,FALSE,FALSE,none,213,36,213,Hohhot,111.717,40.7612,NA,化肥厂生活区,呼和浩特,内蒙古
1098A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.6836,41.9339,NA,森林路,沈阳,辽宁
1099A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.535,41.756100000000004,NA,浑南东路,沈阳,辽宁
1100A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.439,41.7089,NA,新秀街,沈阳,辽宁
1101A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.284,41.7694,NA,沧海路,沈阳,辽宁
1102A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.542,41.8336,NA,东陵路,沈阳,辽宁
1103A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.428,41.8472,NA,陵东街,沈阳,辽宁
1104A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.41,41.765,NA,文化路,沈阳,辽宁
1105A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.478,41.7775,NA,小河沿,沈阳,辽宁
1106A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.3997,41.7972,NA,太原街,沈阳,辽宁
1107A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.3606,41.7806,NA,南十东路,沈阳,辽宁
1108A,0,Liaoning,Shenyang,none,FALSE,FALSE,none,207,205,207,Shenyang,123.3783,41.9228,NA,京沈街,沈阳,辽宁
1109A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.6119444,38.97388889,NA,甘井子,大连,辽宁
1110A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.565,38.95111111,NA,周水子,大连,辽宁
1111A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.5638889,38.885,NA,星海三站,大连,辽宁
1112A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.6330556,38.91194444,NA,青泥洼桥,大连,辽宁
1113A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.625,38.86388889,NA,傅家庄,大连,辽宁
1114A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.5180556,38.85611111,NA,七贤岭,大连,辽宁
1115A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.2588889,38.80805556,NA,旅顺,大连,辽宁
1116A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.7481,39.131100000000004,NA,金州,大连,辽宁
1117A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.7769,39.0511,NA,开发区,大连,辽宁
1118A,0,Liaoning,Dalian,neighbor2,FALSE,FALSE,none,199,50,199,Dalian,121.9769,39.0631,NA,双D港,大连,辽宁
1119A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.323,43.9167,NA,食品厂,长春,吉林
1120A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.287,43.91,NA,客车厂,长春,吉林
1121A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.2786,43.84,NA,邮电学院,长春,吉林
1122A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.3649,43.8748,NA,劳动公园,长春,吉林
1123A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.325,43.8694,NA,园林处,长春,吉林
1124A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.454,43.7878,NA,净月潭,长春,吉林
1125A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.633,43.55,NA,甩湾子,长春,吉林
1126A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.417,43.8667,NA,经开区环卫处,长春,吉林
1127A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.25,43.8167,NA,高新区管委会,长春,吉林
1128A,0,Jilin,Changchun,none,FALSE,FALSE,none,189,331,189,Changchun,125.217,43.85,NA,岱山公园,长春,吉林
1129A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.542,45.755,NA,岭北,哈尔滨,黑龙江
1130A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.561,45.8167,NA,松北商大,哈尔滨,黑龙江
1131A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.979,45.5422,NA,阿城会宁,哈尔滨,黑龙江
1132A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.599,45.7222,NA,南岗学府路,哈尔滨,黑龙江
1133A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.689,45.7733,NA,太平宏伟公园,哈尔滨,黑龙江
1134A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.635,45.7667,NA,道外承德广场,哈尔滨,黑龙江
1135A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.685,45.7319,NA,香坊红旗大街,哈尔滨,黑龙江
1136A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.646,45.7258,NA,动力和平路,哈尔滨,黑龙江
1137A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.593,45.7478,NA,道里建国路,哈尔滨,黑龙江
1138A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.615,45.61,NA,平房东轻厂,哈尔滨,黑龙江
1139A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.6106,45.9819,NA,呼兰师专,哈尔滨,黑龙江
1140A,0,Heilongjiang,Harbin,none,FALSE,FALSE,none,103,42,103,Harbin,126.6206,45.6842,NA,省农科院,哈尔滨,黑龙江
1142A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.478,31.2036,YRD,十五厂,上海,上海
1143A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.467,31.3008,YRD,虹口,上海,上海
1144A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.412,31.1654,YRD,徐汇上师大,上海,上海
1145A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.536,31.2659,YRD,杨浦四漂,上海,上海
1146A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,120.978,31.0935,YRD,青浦淀山湖,上海,上海
1147A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.425,31.2261,YRD,静安监测站,上海,上海
1148A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.703,31.1907,YRD,浦东川沙,上海,上海
1149A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.533,31.2284,YRD,浦东新区监测站,上海,上海
1150A,0,Shanghai,Shanghai,none,TRUE,FALSE,YRD,262,27,262,Shanghai,121.577,31.2071,YRD,浦东张江,上海,上海
1151A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.803,32.1083,YRD,迈皋桥,南京,江苏
1152A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.749,32.0572,YRD,草场门,南京,江苏
1153A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.778,32.0723,YRD,山西路,南京,江苏
1154A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.777,32.0144,YRD,中华门,南京,江苏
1155A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.803,32.0314,YRD,瑞金路,南京,江苏
1156A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.795,32.0775,YRD,玄武湖,南京,江苏
1157A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.626,32.0878,YRD,浦口,南京,江苏
1158A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.737,32.0092,YRD,奥体中心,南京,江苏
1159A,0,Jiangsu,Nanjing,neighbor2,TRUE,FALSE,YRD,166,90,166,Nanjing,118.907,32.105,YRD,仙林大学城,南京,江苏
1160A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.561,31.2472,YRD,上方山,苏州,江苏
1161A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.628,31.2864,YRD,南门,苏州,江苏
1162A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.591,31.3019,YRD,彩香,苏州,江苏
1163A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.596,31.3264,YRD,轧钢厂,苏州,江苏
1164A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.613,31.2703,YRD,吴中区,苏州,江苏
1165A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.543,31.2994,YRD,苏州新区,苏州,江苏
1166A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.669,31.3097,YRD,苏州工业园区,苏州,江苏
1167A,0,Jiangsu,Suzhou,none,TRUE,FALSE,YRD,169,303,169,Suzhou,120.641,31.3708,YRD,相城区,苏州,江苏
1168A,0,Jiangsu,Nantong,none,TRUE,FALSE,YRD,167,92,167,Nantong,120.913,31.96,YRD,南郊,南通,江苏
1169A,0,Jiangsu,Nantong,none,TRUE,FALSE,YRD,167,92,167,Nantong,120.86,32.0005,YRD,虹桥,南通,江苏
1170A,0,Jiangsu,Nantong,none,TRUE,FALSE,YRD,167,92,167,Nantong,120.87,32.02,YRD,城中,南通,江苏
1171A,0,Jiangsu,Nantong,none,TRUE,FALSE,YRD,167,92,167,Nantong,120.94,31.93,YRD,星湖花园,南通,江苏
1172A,0,Jiangsu,Nantong,none,TRUE,FALSE,YRD,167,92,167,Nantong,120.81,32.0417,YRD,紫琅学院,南通,江苏
1173A,0,Jiangsu,Lianyungang,neighbor2,FALSE,FALSE,none,165,275,165,Lianyungang,119.176,34.5885,NA,市环境监测站,连云港,江苏
1174A,0,Jiangsu,Lianyungang,neighbor2,FALSE,FALSE,none,165,275,165,Lianyungang,119.141,34.5896,NA,洪门派出所,连云港,江苏
1175A,0,Jiangsu,Lianyungang,neighbor2,FALSE,FALSE,none,165,275,165,Lianyungang,119.368,34.7507,NA,墟沟核电专家村,连云港,江苏
1176A,0,Jiangsu,Lianyungang,neighbor2,FALSE,FALSE,none,165,275,165,Lianyungang,119.348,34.6984,NA,开发区恒瑞医药公司,连云港,江苏
1177A,0,Jiangsu,Xuzhou,neighbor1,FALSE,FALSE,none,172,119,172,Xuzhou,117.167,34.2761,NA,黄河新村,徐州,江苏
1178A,0,Jiangsu,Xuzhou,neighbor1,FALSE,FALSE,none,172,119,172,Xuzhou,117.192,34.2417,NA,淮塔,徐州,江苏
1179A,0,Jiangsu,Xuzhou,neighbor1,FALSE,FALSE,none,172,119,172,Xuzhou,117.192,34.3083,NA,铜山兽医院,徐州,江苏
1180A,0,Jiangsu,Xuzhou,neighbor1,FALSE,FALSE,none,172,119,172,Xuzhou,117.256,34.2153,NA,新城区,徐州,江苏
1181A,0,Jiangsu,Xuzhou,neighbor1,FALSE,FALSE,none,172,119,172,Xuzhou,117.244,34.2911,NA,桃园路,徐州,江苏
1182A,0,Jiangsu,Xuzhou,neighbor1,FALSE,FALSE,none,172,119,172,Xuzhou,117.2933,34.2778,NA,农科院,徐州,江苏
1183A,0,Jiangsu,Xuzhou,neighbor1,FALSE,FALSE,none,172,119,172,Xuzhou,117.166,34.1806,NA,铜山区环保局,徐州,江苏
1184A,0,Jiangsu,Yangzhou,neighbor2,TRUE,FALSE,YRD,174,191,174,Yangzhou,119.46,32.3878,YRD,城东财政所,扬州,江苏
1185A,0,Jiangsu,Yangzhou,neighbor2,TRUE,FALSE,YRD,174,191,174,Yangzhou,119.404,32.41,YRD,市监测站,扬州,江苏
1186A,0,Jiangsu,Yangzhou,neighbor2,TRUE,FALSE,YRD,174,191,174,Yangzhou,119.389,32.3761,YRD,邗江监测站,扬州,江苏
